"Segment","Name","Website","Location","Type/Category","Why-fit","Personalization hook","Contact path","Confidence","Notes","Country","Ecosystem","ICP_Fit","Contact_path_type","Directory_source","Directory_profile_url","Own_site_verified","Outreach_stage","Last_verified_date"
"Retailer - direct client","Ottway the Label","ottwaythelabel.com","Collingwood VIC AU","Apparel","3 stores + wholesale, slow fashion","Per-purchase solar donation has funded 700 panels","ottwaythelabel.com/pages/stockists","high","","","","","","","","","",""
"Retailer - direct client","Make Me Iconic","makemeiconic.com","Melbourne VIC AU","Toys","15+yr wooden toy/gift maker, DTC + stockists","Started from a bedroom making tea towels; Melbourne Tram wooden toys","makemeiconic.com wholesale/stockist","high","","","","","","","","","",""
"Retailer - direct client","Father Rabbit","fatherrabbit.com","Auckland NZ","Homewares","3 stores + warehouse, curated multi-brand","Grey Lynn split-villa origin 2012, now 3 Auckland stores + warehouse","fatherrabbit.com/pages/our-stores","high","Found via 2 methods; Stocky-exposed","","","","","","","","",""
"Retailer - direct client","Find Your Feet","findyourfeet.com.au","Hobart & Launceston TAS AU","Outdoor / trail-run","2 stores + online, 80+ brands multi-brand reseller","Founded by elite orienteer Hanny Allston","findyourfeet.com.au/pages/about-us","high","Found via 2 methods; Stocky-exposed","","","","","","","","",""
"Retailer - direct client","CCACHE","ccache.cc","Sydney & Melbourne AU","Cycling / bike","3 stores, heavy multi-supplier POs (Shimano/SRAM/Rapha)","Marrickville flagship + CBD + Melbourne; 3-location stock balancing","ccache.cc/pages/store-locations","high","Stocky-exposed","","","","","","","","",""
"Retailer - direct client","Sole Motive","solemotive.com","Melbourne AU","Running footwear","2 stores, gait analysis, brutal size/width matrix","Formerly Running Fit; in-store video gait assessment","solemotive.com/pages/store-locator","high","Stocky-exposed","","","","","","","","",""
"Retailer - direct client","Sabato","sabato.co.nz","Auckland NZ","Gourmet food + kitchenware","Importer/distributor/retailer since 1993, perishable + imported SKUs","Family fine-food importer since 1993 with in-store tastings","sabato.co.nz/pages/store-locator","high","Stocky-exposed","","","","","","","","",""
"Retailer - direct client","Childplay","childplay-melbourne.myshopify.com","Melbourne VIC AU","Toys","Indie toy shop since 1972, physical + online, seasonal buying","Trading since 1972 on a learn-through-play philosophy","childplay-melbourne.myshopify.com","high","Stocky-exposed","","","","","","","","",""
"Retailer - direct client","Crackerjack Toys","crackerjack-toys.myshopify.com","Brisbane QLD AU","Toys","Family toy shop + online, heavy seasonal PO cycles","Brands as Brisbane's best toy shop, in-store + online","crackerjack-toys.myshopify.com","high","Stocky-exposed","","","","","","","","",""
"Retailer - direct client","Company of Strangers","companyofstrangers.co.nz","Dunedin NZ","Womenswear","Flagship + online, own label + curated brands","Made-in-NZ own label sold with curated brands, George St flagship","companyofstrangers.co.nz","med-high","Stocky-exposed","","","","","","","","",""
"Retailer - direct client","Sage and Clare","sageandclare.com","Melbourne VIC AU","Homewares","High-SKU boho homewares/apparel, print drops, big stockist base","Print-heavy seasonal collections carried by dozens of independents","sageandclare.com contact/wholesale","med","","","","","","","","","",""
"Retailer - direct client","Dunn & Watson","dunnandwatson.com.au","SE QLD AU","Auto / 4WD parts","Manufacturer + retailer, large 4WD catalog + custom builds","Markets the largest range of 4WD accessories in Australia","dunnandwatson.com.au wholesale","med","","","","","","","","","",""
"Retailer - direct client","Bonnie & Neil","bonnieandneil.com.au","Melbourne VIC AU","Homewares","Hand-printed cushions/tableware/bedding, DTC + wholesale","Everything hand-printed in Melbourne","bonnieandneil.com.au contact","med","","","","","","","","","",""
"Retailer - direct client","Zorali","zorali.com","Sunshine Coast QLD AU","Outdoor gear","B-Corp, broad gear range, lifetime warranty (replacement stock)","Escapade backpack ships in 8 colourways; lifetime warranty","zorali.com contact","med","","","","","","","","","",""
"Retailer - direct client","Salt by Hendrix","saltbyhendrix.com","Sydney NSW AU","Beauty","6 collections incl bundles/kits, active wholesale","Founder started it seeking eczema remedies for her son","saltbyhendrix.com stockist enquiries","med","","","","","","","","","",""
